codigo_servico;nome_servico;descricao;valor_hora;valor_maior_400m2;valor_menor_400m2;valor_unico
001;Projeto 3D;Maquete Eletronica da parte externa da construcao.Imagens finais de fotorrealismo;null;5;1500;null
002;Projeto Arquitetonico de Aprovacao;Projeto conforme as diretrizes acertadas com o cliente e atendendo as normas e posturas municipais, para aprovacao na prefeitura;null;3;750;null
003;Projeto Definitivo de Arquitetura;Projeto arquitetonico aprovado com os projetos estrutural, eletrico, hidraulico, sanitario, pluvial, gas, telefonico, comunicacao, combate a incendio e locacao da obra;null;4;3000;null
004;Projeto Estrutural;Dimensionamento das lajes, vigas, pilares, arrimos, contencoes, cortinas, fundacoes, escadas, caixa dagua,etc;null;17;20;null
005;Projeto de Instalacoes Eletricas de Baixa Tensao;Projeto das instalacoes eletricas incluindo iluminacao, forca, aterramento;null;2.50;500;null
006;Projeto de Instalacoes Hidraulicas, Sanitarias. Pluviais e Gas;Dimensionamento das instalacoes de agua fria, quente, esgoto, drenagem pluvial e gas, com base nos pontos de consumo;null;10;12;null
007;Projeto de Instalacao de Prevencao e Combate a Incendio;Dimensionamento das instalacoes de combate a incendio, extintores, hidrantes e/ou sprinklers, apresentacao do projeto executivo, com relacao e especificacao dos materiais e aprovacao no Corpo de Bombeiros;null;3;1200;null
008;Aprovacao do Projeto na Prefeitura;Preparação da documentacao, marcacao de entrevista, comparecimento a Prefeitura em duas entrevistas, recebimento de alvara.;null;null;null;2000
009;Consultoria Tecnica;Consultoria tecnica na area da engenharia civil, solicitadas pelo cliente, para solucionar e orientar problemas, pendencias tecnicas ou instruir processos juridicos. Os servicos incluem visitas, levantamentos, calculos, estudos e elaboracao de parecer em relatorio conclusivo.;350;null;null;null



